gene,sig,sig_cell_types
PRKAB1,0,[]
MDFIC,0,[]
PRKACB,0,[]
POR,0,[]
POLR2G,0,[]
PON2,0,[]
PKD2L1,0,[]
MFRP,0,[]
MFSD5,0,[]
MGAM,0,[]
PKIA,0,[]
PKHD1,0,[]
MGMT,0,[]
PKD2,0,[]
PIP4K2A,0,[]
PKD1L1,0,[]
PKD1,0,[]
PIWIL1,0,[]
PITX2,0,[]
PITX1,0,[]
PITPNB,0,[]
PKNOX2,0,[]
PKP2,0,[]
PLA2G4A,0,[]
PLA2G5,0,[]
PLA2G6,0,[]
MFN2,0,[]
PLA2R1,0,[]
PLAGL1,0,[]
PLAGL2,0,[]
PLAT,0,[]
PLAU,0,[]
MFGE8,0,[]
PLCB1,0,[]
PLCE1,0,[]
MFF,0,[]
PLCG1,0,[]
PLCG2,0,[]
PITHD1,0,[]
PINK1,0,[]
PON1,0,[]
PHOX2B,0,[]
PIEZO1,0,[]
MIIP,0,[]
PICALM,0,[]
PIBF1,0,[]
PI4KA,0,[]
PI16,0,[]
PHLPP1,0,[]
PIN1,0,[]
PHLDB3,0,[]
PHLDB2,0,[]
PHLDA3,0,[]
PHGDH,0,[]
PHF8,0,[]
PHF7,0,[]
PIEZO2,0,[]
PIGF,0,[]
PIH1D1,0,[]
PIK3C3,0,[]
PIK3CA,0,[]
PIK3CB,0,[]
PIK3CD,0,[]
MIEN1,0,[]
PIK3R1,0,[]
MID2,0,[]
PIK3R2,0,[]
MICB,0,[]
PIKFYVE,0,[]
PILRA,0,[]
MICA,0,[]
PIM2,0,[]
PIMREG,0,[]
PLD1,0,[]
PLD2,0,[]
MFAP5,0,[]
PNPT1,0,[]
POLD1,0,[]
POLB,0,[]
POGZ,0,[]
POGLUT2,0,[]
MEPCE,0,[]
PODXL,0,[]
MERTK,0,[]
PLEKHA1,0,[]
PNPLA3,0,[]
PNPLA2,0,[]
PNPLA1,0,[]
MEST,0,[]
PNOC,0,[]
PNMA2,0,[]
POLDIP2,0,[]
MEN1,0,[]
POLE,0,[]
POLH,0,[]
POLR2A,0,[]
MELTF,0,[]
MELK,0,[]
POLR2B,0,[]
POLR2C,0,[]
MEIS3,0,[]
POLR2E,0,[]
PRODH,0,[]
POLR2H,0,[]
POLR2M,0,[]
POMC,0,[]
POMGNT1,0,[]
POMT1,0,[]
PNMA1,0,[]
PMS2,0,[]
PMS1,0,[]
PLN,0,[]
PLEKHA2,0,[]
METTL3,0,[]
METTL2A,0,[]
PLEKHH2,0,[]
METTL18,0,[]
PLEKHM2,0,[]
PLEKHO1,0,[]
PLG,0,[]
PLIN1,0,[]
PLIN2,0,[]
METTL16,0,[]
PLIN5,0,[]
PLK1,0,[]
PLK4,0,[]
PLP2,0,[]
PMP22,0,[]
PLS3,0,[]
PLSCR1,0,[]
METRNL,0,[]
PLVAP,0,[]
MET,0,[]
PLXNB2,0,[]
PLXNC1,0,[]
PM20D1,0,[]
PM20D2,0,[]
PMAIP1,0,[]
PMCH,0,[]
PMFBP1,0,[]
PML,0,[]
PMM2,0,[]
PROCR,0,[]
PRPF8,0,[]
PROKR2,0,[]
RAP1A,0,[]
RARB,0,[]
RARA,0,[]
RAPGEF6,0,[]
RAPGEF5,0,[]
RAPGEF3,0,[]
RAP2A,0,[]
RANGAP1,0,[]
MAP4K5,0,[]
RANBP9,0,[]
RANBP3,0,[]
RANBP2,0,[]
MAP7D1,0,[]
MAPK1,0,[]
RALGPS1,0,[]
RASA1,0,[]
RASD1,0,[]
RASD2,0,[]
RASGEF1C,0,[]
RASGRP1,0,[]
RASSF1,0,[]
RASSF2,0,[]
RASSF3,0,[]
RASSF5,0,[]
RASSF8,0,[]
RAVER1,0,[]
RB1,0,[]
MAP7,0,[]
RBBP4,0,[]
RBBP5,0,[]
RBBP7,0,[]
RBBP8,0,[]
RAI2,0,[]
RAI14,0,[]
RAG1,0,[]
RAB5A,0,[]
MAPK12,0,[]
PYGM,0,[]
PYM1,0,[]
PZP,0,[]
QPCTL,0,[]
QRFPR,0,[]
R3HDM1,0,[]
R3HDM2,0,[]
RAB11A,0,[]
MAPK11,0,[]
RAB11FIP5,0,[]
RAB27A,0,[]
RAB28,0,[]
MAPK10,0,[]
RAB6C,0,[]
RAF1,0,[]
RAB7A,0,[]
RAB8A,0,[]
RAB9A,0,[]
RABL2B,0,[]
RABL3,0,[]
RABL6,0,[]
RAC1,0,[]
RACGAP1,0,[]
RAD18,0,[]
RAD50,0,[]
RAD51,0,[]
RAD52,0,[]
RAD54L,0,[]
RAD54L2,0,[]
RBCK1,0,[]
RBL2,0,[]
PROM1,0,[]
REST,0,[]
RFC3,0,[]
REXO2,0,[]
RETREG3,0,[]
RETREG1,0,[]
RETN,0,[]
RET,0,[]
MAP4,0,[]
RBM10,0,[]
MAP4K2,0,[]
RERG,0,[]
REPS1,0,[]
